# of Solutions,avg. Solution Length,Time (micro-seconds),Median Solution Length, Median Set Value,Sum of Set,Target Value,SpecificSolutionLength,SpecificSolutionMedian,Occurence
0,0.0000,324,0,383,0,0,0,0,
0,0.0000,284,0,478,0,0,0,0,
0,0.0000,72,0,656,0,0,12,428,
0,0.0000,303,0,315,0,0,12,315,
0,0.0000,124,0,457,0,0,12,276,
0,0.0000,509,0,710,0,0,0,0,
0,0.0000,469,0,311,0,0,0,0,
0,0.0000,393,0,669,0,0,12,261,
0,0.0000,1003,0,446,0,0,0,0,
0,0.0000,144,0,352,0,0,13,278,
0,0.0000,163,0,301,0,0,13,270,
0,0.0000,502,0,328,0,0,13,225,
0,0.0000,1438,0,569,0,0,0,0,
0,0.0000,994,0,358,0,0,13,237,
0,0.0000,35,0,663,0,0,14,661,
0,0.0000,107,0,360,0,0,14,255,
0,0.0000,1448,0,583,0,0,14,283,
0,0.0000,1785,0,679,0,0,0,0,
0,0.0000,426,0,548,0,0,14,302,
0,0.0000,1529,0,426,0,0,14,297,
0,0.0000,3653,0,656,0,0,0,0,
0,0.0000,121,0,488,0,0,15,488,
0,0.0000,1895,0,482,0,0,15,236,
0,0.0000,5251,0,585,0,0,0,0,
0,0.0000,161,0,365,0,0,15,306,
0,0.0000,89,0,481,0,0,15,481,
0,0.0000,89,0,473,0,0,16,319,
0,0.0000,280,0,405,0,0,16,480,
0,0.0000,104,0,573,0,0,16,287,
0,0.0000,416,0,268,0,0,16,241,
0,0.0000,827,0,658,0,0,16,442,
0,0.0000,136,0,567,0,0,16,330,
0,0.0000,942,0,164,0,0,17,284,
0,0.0000,18412,0,706,0,0,0,0,
0,0.0000,138,0,408,0,0,17,283,
0,0.0000,17034,0,568,0,0,0,0,
0,0.0000,179,0,414,0,0,17,178,
0,0.0000,147,0,478,0,0,17,361,
0,0.0000,365,0,549,0,0,18,389,
0,0.0000,33889,0,664,0,0,18,126,
0,0.0000,1208,0,301,0,0,18,256,
0,0.0000,497,0,378,0,0,18,262,
0,0.0000,1665,0,554,0,0,18,305,
0,0.0000,65,0,663,0,0,18,343,
0,0.0000,52,0,510,0,0,19,317,
0,0.0000,248,0,436,0,0,19,374,
0,0.0000,343,0,357,0,0,19,166,
0,0.0000,2974,0,473,0,0,19,321,
0,0.0000,126,0,444,0,0,19,244,
0,0.0000,1217,0,311,0,0,19,267,
0,0.0000,187,0,566,0,0,20,325,
0,0.0000,88,0,635,0,0,20,292,
0,0.0000,430,0,568,0,0,20,385,
0,0.0000,312,0,498,0,0,20,432,
0,0.0000,1998,0,567,0,0,20,365,
0,0.0000,447,0,688,0,0,20,522,
0,0.0000,48,0,556,0,0,21,383,
0,0.0000,271,0,488,0,0,21,427,
0,0.0000,392,0,388,0,0,21,293,
0,0.0000,16,0,893,0,0,0,0,
0,0.0000,32,0,353,0,0,0,0,
0,0.0000,19,0,375,0,0,0,0,
0,0.0000,18,0,372,0,0,0,0,
0,0.0000,18,0,144,0,0,0,0,
0,0.0000,33,0,500,0,0,0,0,
0,0.0000,32,0,555,0,0,0,0,
