# of Solutions,avg. Solution Length,Time (micro-seconds),Median Solution Length, Median Set Value,Sum of Set,Target Value,SpecificSolutionLength,SpecificSolutionMedian,Occurence
0,NaN,62,0,611,9227,2000,3,737,8:0.153:0.250:0.319:0.414:0.456:0.457:0.554:0.611:0.667:0.737:0.857:0.865:0.941:0.944:0.994:0
26,7.0385,42,8,296,6365,2000,5,232,9:26.16:10.36:13.94:14.167:10.227:12.228:9.232:12.296:8.331:22.497:7.533:7.607:9.630:6.790:13.797:2.875:3
13,4.0000,101,4,744,10692,2000,2,571,170:13.203:0.297:0.395:0.468:6.514:7.533:7.571:6.744:0.757:0.783:7.791:6.811:0.867:0.896:0.918:0.974:0
29,6.9310,33,6,343,7176,2000,4,840,50:29.60:12.109:29.140:19.166:19.170:10.260:5.287:6.343:14.501:21.519:0.687:16.691:7.728:4.771:5.840:4.854:1
36,6.5278,52,7,367,7659,2000,4,766,81:36.119:15.120:17.137:18.227:18.244:19.273:21.287:1.367:19.452:19.463:20.712:16.724:15.733:0.766:0.976:0.978:1
21,6.2857,30,6,568,8607,2000,4,182,2:21.7:17.12:3.124:16.182:8.244:12.309:13.318:0.498:3.568:0.575:6.658:0.733:3.739:13.826:9.878:6.951:0.983:2
0,NaN,312,0,661,10490,2000,4,661,30:0.267:0.269:0.308:0.345:0.392:0.463:0.582:0.646:0.661:0.684:0.737:0.800:0.803:0.826:0.831:0.885:0.961:0
82,7.6585,57,7,298,6856,2000,4,367,68:82.89:56.130:45.165:42.172:35.178:46.218:42.248:33.259:35.298:44.367:22.393:45.481:34.514:21.686:20.718:18.910:6.962:2
31,5.3871,19,5,510,8733,2000,2,795,174:31.213:18.222:4.231:14.270:6.296:5.423:21.460:10.499:21.510:6.511:4.541:4.547:6.608:7.649:8.792:0.795:2.992:0
115,7.4174,33,9,378,7361,2000,5,222,8:115.12:54.40:64.89:54.151:46.197:46.222:58.254:42.260:58.378:33.397:42.456:49.534:42.581:53.603:34.617:39.636:18.928:4.998:2
20,5.7500,20,6,605,10498,2000,4,791,78:20.103:6.120:14.169:15.171:5.190:6.404:9.595:0.598:9.605:0.631:15.675:0.791:5.829:6.840:5.861:0.900:0.952:0.986:0
6,6.0000,94,7,555,9907,2000,3,786,77:6.78:6.100:3.236:6.287:3.343:0.386:0.394:3.529:0.555:0.649:0.680:0.707:0.781:3.784:0.786:0.828:6.846:0.861:0
34,6.4118,30,6,574,10215,2000,3,152,13:34.56:9.100:31.152:11.228:23.260:26.333:6.362:11.463:15.574:19.613:7.770:0.786:9.825:6.883:5.919:0.945:3.949:2.984:1
43,6.2791,40,6,450,9885,2000,5,329,40:43.91:13.143:18.217:21.221:29.248:0.309:29.329:15.409:8.418:17.450:12.500:8.512:35.585:3.759:6.827:5.929:4.937:3.969:0.992:1
17,6.1765,30,5,559,9802,2000,4,568,163:17.166:11.180:10.204:6.259:10.287:0.312:1.330:12.343:16.390:1.559:14.568:0.600:0.622:0.655:0.695:0.731:4.809:0.960:2.969:1
59,6.6271,44,7,479,9017,2000,5,311,58:59.64:44.196:42.247:8.253:18.286:31.311:20.411:37.421:27.470:14.479:19.499:7.505:10.545:25.548:17.565:10.695:0.759:0.820:2.885:1
45,4.9111,48,4,604,11133,2000,3,348,3:45.15:7.314:10.348:2.378:12.390:27.393:5.396:11.416:20.587:26.604:10.704:8.706:19.708:0.722:0.795:10.833:4.913:3.924:2.984:0
20,4.5500,65,5,586,12340,2000,4,480,83:20.116:0.231:0.304:11.439:0.448:1.480:12.490:0.493:8.547:11.586:11.676:0.701:8.723:8.744:0.749:0.787:0.836:0.951:0.967:0.989:1
282,7.8617,15,7,417,8347,2000,5,139,4:282.14:151.19:150.56:163.139:186.179:107.194:141.269:134.306:100.360:66.417:113.458:85.463:128.496:86.515:132.615:62.642:54.643:27.757:29.844:19.957:2
77,6.0130,25,5,499,10603,2000,5,255,62:77.72:37.115:32.234:40.255:20.339:26.440:17.458:46.463:19.465:38.499:25.518:21.570:26.597:10.619:7.666:12.732:5.819:0.843:0.876:4.961:1
11,4.4545,40,4,601,11579,2000,4,530,100:11.145:5.162:0.218:0.356:5.417:0.474:0.530:0.543:6.546:0.601:0.603:0.612:11.660:0.671:0.745:6.787:5.790:0.863:0.865:0.891:0
44,5.3864,24,5,758,13332,2000,3,910,48:44.100:18.146:7.179:28.288:20.365:21.447:11.468:26.499:0.575:5.652:12.758:11.782:13.805:9.808:0.821:0.857:0.910:5.924:4.950:3.960:0.990:0
72,5.9583,69,7,526,11693,2000,3,424,85:72.108:34.110:34.235:37.283:38.321:10.328:16.374:30.424:5.450:29.463:35.526:12.594:20.629:10.642:15.715:14.841:6.863:5.886:0.893:3.951:4.972:0
155,6.8903,40,8,533,10460,2000,5,302,19:155.24:89.85:80.127:62.163:74.181:41.188:66.247:72.302:86.513:36.519:46.533:19.569:48.588:39.622:34.657:35.771:52.773:20.800:8.848:0.964:4.967:2
113,6.2655,76,5,640,11606,2000,6,274,35:113.59:76.80:74.236:47.249:35.274:48.307:45.387:32.411:15.575:43.622:29.640:30.663:20.670:42.693:21.716:7.728:21.745:5.783:0.871:3.882:2.980:0
172,6.7442,36,5,527,11560,2000,4,614,27:172.50:96.113:100.160:79.234:99.298:64.350:80.359:53.378:55.390:72.430:46.527:50.555:44.611:37.614:14.615:44.637:12.741:6.783:10.855:16.868:6.965:4.1000:1
182,6.5824,36,5,444,11103,2000,4,640,7:182.72:66.95:73.176:71.219:71.245:57.312:89.325:89.335:80.358:80.418:61.444:41.498:56.603:40.640:6.662:36.694:25.737:40.740:30.781:0.880:3.922:2.940:0
133,6.3534,59,6,627,11972,2000,4,279,5:133.29:93.62:58.165:55.200:49.279:56.293:32.358:59.446:43.527:26.602:65.627:20.649:21.656:46.663:14.690:34.741:0.780:6.797:25.806:4.839:3.844:2.914:1
227,6.3700,111,6,445,11011,2000,5,234,75:227.99:112.136:60.170:45.183:79.207:55.234:120.262:109.263:68.291:36.397:144.445:57.455:17.580:87.586:63.642:58.712:40.750:24.795:25.850:12.914:0.975:8.990:0
257,6.9844,36,7,510,11615,2000,5,258,31:257.47:135.99:150.172:127.248:126.258:106.299:99.302:101.311:144.325:74.364:40.505:102.510:65.578:32.580:50.596:48.640:21.642:29.690:38.763:25.818:12.906:9.961:4.970:1
271,6.3727,24,5,520,11772,2000,4,169,34:271.104:128.137:90.156:123.169:120.202:89.261:91.322:92.326:79.412:83.461:71.465:92.520:76.658:72.660:60.672:38.679:40.694:59.702:0.718:27.790:8.812:12.819:4.999:2
650,7.5846,66,8,442,10465,2000,4,754,26:650.83:262.96:304.109:289.134:293.167:300.179:233.183:217.214:332.218:363.254:244.434:261.442:163.476:176.517:159.592:226.637:102.680:122.754:39.755:84.793:68.862:18.876:20.984:5
395,7.3418,24,8,522,11335,2000,4,907,4:395.5:210.51:173.63:187.88:200.178:236.260:186.283:176.367:160.408:135.414:111.495:99.522:103.536:112.573:57.609:84.648:78.688:54.710:34.754:61.907:16.908:18.922:10.942:5
104,5.9423,64,5,543,13977,2000,3,430,83:104.99:54.158:41.170:56.267:52.290:32.402:30.430:39.464:12.503:26.516:34.541:20.543:24.562:27.569:11.724:0.759:21.774:16.802:7.803:0.862:0.869:4.891:6.898:2.998:0
287,6.1463,19,7,473,11413,2000,4,686,45:287.47:129.230:126.242:124.246:96.260:82.309:64.412:83.428:58.447:63.455:110.461:71.473:60.504:98.520:55.525:33.538:14.575:17.576:63.611:49.627:29.637:26.686:19.751:2.808:6
1293,7.9327,71,7,339,10739,2000,6,200,16:1293.36:690.52:542.96:546.176:701.196:533.200:529.223:512.226:523.236:539.265:434.270:524.339:430.379:449.466:407.478:335.519:378.592:298.715:224.787:96.811:123.887:52.895:54.915:30.964:15
320,6.3750,36,7,558,12812,2000,3,651,15:320.127:129.134:159.150:137.179:149.233:104.348:105.351:108.362:74.444:92.456:106.465:56.558:85.559:64.572:75.619:87.640:54.644:38.651:35.687:30.734:20.959:4.961:6.966:2.998:1
549,7.1967,20,7,464,12664,2000,3,865,12:549.17:163.43:293.46:307.104:245.125:215.181:281.247:226.356:135.360:147.372:192.406:167.458:156.464:132.549:159.614:122.705:95.762:56.767:76.800:69.855:31.859:27.865:60.888:21.903:22.906:5
337,6.3947,43,8,540,13035,2000,4,615,66:337.119:108.131:139.143:114.159:165.233:132.258:110.277:133.334:77.371:126.392:103.519:88.527:42.540:62.556:70.568:25.590:97.615:91.654:8.671:41.768:40.774:35.881:4.939:3.966:4.984:1
456,6.7851,77,7,523,13239,2000,4,608,45:456.74:202.82:214.83:196.125:181.188:190.233:179.327:168.383:160.404:211.439:144.454:139.502:128.523:93.608:78.634:73.672:72.699:72.729:48.765:21.806:28.848:15.878:12.885:6.918:6.935:2
924,6.8788,26,7,0,14853,2000,4,711,10:924.40:454.60:388.118:485.140:433.194:299.233:292.262:262.308:365.356:326.366:328.440:186.572:185.578:112.588:147.615:165.625:194.651:158.671:117.691:146.693:74.694:103.711:80.816:42.842:25.844:24.851:24.917:12.967:6
893,7.6920,31,8,429,11750,2000,4,50,20:893.21:515.44:398.50:477.105:384.134:372.238:401.264:316.308:313.337:317.354:339.359:256.366:203.429:393.466:219.502:221.517:192.606:201.727:109.734:99.756:90.773:69.846:36.898:33.909:16.987:7
508,6.3740,118,6,465,12803,2000,5,326,63:508.97:125.123:170.206:256.207:193.237:175.263:124.326:162.373:213.376:140.381:136.444:144.449:128.465:139.475:67.481:106.536:67.581:89.607:73.608:73.627:69.674:42.761:25.779:4.815:6.888:2.961:2
825,7.4012,50,7,519,12869,2000,4,70,2:825.18:391.32:527.70:371.146:342.183:343.188:316.251:312.253:330.352:343.383:242.430:205.435:189.519:188.536:193.581:149.601:106.661:226.671:107.690:114.748:63.754:76.795:58.834:20.864:36.908:26.964:8
403,6.2878,52,6,455,13762,2000,4,279,67:403.81:222.213:146.279:161.289:105.292:166.317:142.342:138.362:98.393:62.398:123.399:109.435:91.455:112.478:96.484:96.552:59.659:56.706:63.712:16.738:42.773:6.785:10.805:8.858:3.941:0.949:1
1709,7.8116,23,8,335,12037,2000,6,200,14:1709.39:752.50:796.135:788.143:743.159:692.167:699.200:726.268:669.319:609.321:597.328:615.329:544.335:629.380:424.475:507.516:464.536:339.632:333.697:186.719:193.757:136.881:75.891:44.900:42.906:26.940:13
723,6.4592,35,5,0,14930,2000,3,685,67:723.69:302.88:304.120:256.227:256.240:305.310:237.316:161.336:200.339:267.369:224.415:142.440:199.489:160.558:169.579:150.594:102.596:112.679:69.685:64.687:53.690:101.763:35.794:24.846:25.857:20.875:3.926:6.976:1
1675,7.6842,26,7,429,13266,2000,3,964,4:1675.44:815.58:902.83:869.87:681.124:681.229:692.272:596.281:494.312:681.330:550.393:519.394:428.399:524.429:541.503:462.542:292.545:329.547:299.637:278.747:149.794:119.813:120.826:75.949:43.964:21.968:20.992:16
2577,8.1913,35,7,465,11604,2000,3,300,4:2577.21:1122.28:1280.30:1603.44:1142.72:1106.103:1107.205:1292.280:1020.291:720.300:1305.373:777.424:768.445:615.465:610.520:455.530:520.540:486.568:463.599:478.626:293.670:367.675:357.697:268.747:215.763:75.777:61.807:27
2990,7.9204,22,8,0,13233,2000,3,739,40:2990.70:1405.99:1317.100:1451.130:1355.145:1186.180:1158.181:1323.188:1224.265:1032.284:1025.287:1105.340:948.397:830.423:782.484:752.485:756.494:738.535:514.602:400.612:468.680:285.713:242.739:168.832:95.952:68.989:27.991:26.996:12
207,6.0435,65,5,564,16258,2000,3,530,68:207.91:132.112:149.138:57.222:79.360:19.415:61.460:54.461:65.484:67.501:44.522:42.530:34.562:57.564:28.629:37.683:12.705:37.786:10.787:9.837:8.841:7.847:12.858:10.886:8.951:6.972:0.986:0
851,6.5593,48,8,538,14568,2000,4,615,88:851.125:426.130:338.206:329.213:329.228:173.259:303.266:315.280:368.308:167.318:257.367:203.415:182.420:211.538:222.563:240.615:218.629:109.664:130.670:54.709:37.856:35.888:24.944:22.957:20.965:6.968:10.979:3
924,6.8788,27,7,588,14853,2000,4,711,10:924.40:454.60:388.118:485.140:433.194:299.233:292.262:262.308:365.356:326.366:328.440:186.572:185.578:112.588:147.615:165.625:194.651:158.671:117.691:146.693:74.694:103.711:80.816:42.842:25.844:24.851:24.917:12.967:6
723,6.4592,60,5,558,14930,2000,3,685,67:723.69:302.88:304.120:256.227:256.240:305.310:237.316:161.336:200.339:267.369:224.415:142.440:199.489:160.558:169.579:150.594:102.596:112.679:69.685:64.687:53.690:101.763:35.794:24.846:25.857:20.875:3.926:6.976:1
2990,7.9204,18,8,423,13233,2000,3,739,40:2990.70:1405.99:1317.100:1451.130:1355.145:1186.180:1158.181:1323.188:1224.265:1032.284:1025.287:1105.340:948.397:830.423:782.484:752.485:756.494:738.535:514.602:400.612:468.680:285.713:242.739:168.832:95.952:68.989:27.991:26.996:12
